xlsdate,captxndate,captxntime,oralog,caplog,capoffset,logdiff,actID,opsCaptured,txnCaptured,conSess,HWMconSess,xlsyymmdd,xlstime
2016-Oct-16 23:45:09,10/16/16,23:45:06,490,490,446732,0,20,124114,7707,0,2,20161016,23:45:09
2016-Oct-16 23:45:18,10/16/16,23:45:15,490,490,3889632,0,20,124378,7795,0,2,20161016,23:45:18
2016-Oct-16 23:45:23,10/16/16,23:45:20,490,490,17822476,0,20,154529,7846,0,2,20161016,23:45:23
2016-Oct-16 23:45:27,10/16/16,23:45:24,490,490,17939868,0,20,154646,7885,0,2,20161016,23:45:27
